Category,Is Hashtag,Text,Quote,Retweet Count,Favorite Count,Is Reply
music,FALSE,"""RT @kingbanqtan: BTS WIN ON TODAY'S MUSIC BANK https://t.co/XK1TFV430h""",FALSE,1266,0,FALSE
music,FALSE,"""RT @CBSThisMorning: 12-time Grammy-winner @Pharrell's latest project is a massive three-day festival unlike anything Virginia Beach has eve…""",FALSE,170,0,FALSE
music,FALSE,"""the suspense music fuxking sends I need a new pair of lungs after this sksksksksks 

@BTS_twt
https://t.co/Umb8qfoG7t""",FALSE,0,0,FALSE
music,FALSE,"""https://t.co/vyLLaG2KmK #Newmusic by #independent #musicians -- Check out Terry and June by Nick Parker #ukmusic… https://t.co/nmvzulUrd4""",FALSE,0,0,FALSE
music,FALSE,"""RT @ukbikefest: 3 WEEKS TO GO // UK BIKE FEST // THE GREATEST SHOW // EUROPE'S BIGGEST INDOOR BIKE FESTIVAL // MANCHESTER // MAY 24-27 // S…""",FALSE,1,0,FALSE
music,FALSE,"""RT @nogizaka46: ________ ________""____________""23rd_____Sing Out__Music Video__ https://t.co/9zMTPjUKOQ https://t.co/rnwWwQ5cyL""",FALSE,2725,0,FALSE
music,FALSE,"""RT @odibiofficial: @akreana_ @Zlatan_Ibile was my inspiration for this song &amp; I made the beat also. Pls rt till he sees it. I'm a singer &amp;…""",FALSE,4,0,FALSE
music,FALSE,"""I LOVE NEW MUSIC""",FALSE,0,0,FALSE
music,FALSE,"""RT @rjcmxrell: music knows my deepest feelings""",FALSE,308,0,FALSE
music,FALSE,"""RT @BBTLmovie: For anyone who has ever wanted to dream, you’re not alone. Inspired by the legendary music of #BruceSpringsteen, comes #Blin…""",FALSE,544,0,FALSE
music,FALSE,"""RT @CY8ERinfo: ____________

2019.05.28 (_)
__duo MUSIC EXCHANGE
open 16:00 / start 17:00

_#_______

-______-
__5/8 23:00- 
________ 5/8 1…""",FALSE,139,0,FALSE
music,FALSE,"""Watch the dreamy music video for Richard Brokensha’s new single ‘Honey’ ft. Carla Louw  https://t.co/7Kk6AIkeC0""",FALSE,0,0,FALSE
music,FALSE,"""Kitch loves...Eli!
Kitch loves...Music!
Kitch loves...MURDER""",FALSE,0,0,FALSE
music,FALSE,"""RT @Yahoo_GYAO: VIVA LA ROCK 2019 ________

__ #___ ___SUPER BEAVER_____________________
_____RT_1___________5/31__
______5/4___________

_____…""",FALSE,459,0,FALSE
music,FALSE,"""RT @billboard: Find out which @BBMAs winner #BTS want to collaborate with next https://t.co/RHqR4u25g3 #BBMAS https://t.co/Tmy1bbgqr4""",FALSE,3248,0,FALSE
